Date,Open,Close,High,Low,Volume,MA1,MA2
2008-01-15,100.1400,101.6300,102.8600,100.1400,13032915,105.5560,108.3590
2008-01-16,102.0000,101.1000,103.4500,100.0500,11650016,105.3100,108.3840
2008-01-17,106.7200,103.4000,106.7200,102.5000,23877652,105.1150,108.4200
2008-01-21,98.5500,101.2400,103.0900,98.5500,15140331,104.9180,108.4440
2008-01-22,99.6300,106.1000,106.3350,98.5000,19589439,104.9180,108.4910
2008-01-23,106.3800,106.9100,107.5100,104.6800,13030401,105.0510,108.5430
2008-01-24,107.7900,104.5200,107.7900,104.1000,10104704,105.1130,108.5900
2008-01-27,104.4400,104.9800,105.7700,103.8300,7860057,105.1070,108.6370
2008-01-28,105.5000,106.1000,106.8000,104.6000,6591336,105.1600,108.6920
2008-01-29,105.8500,105.7400,107.6500,104.8550,7433096,105.2030,108.7400
2008-01-30,104.2100,107.1100,107.9700,103.7000,9058102,105.2490,108.7900
2008-01-31,107.1600,109.0800,109.4000,105.8600,8028960,105.3860,108.8620
2008-02-03,108.6700,107.9300,109.0000,107.2300,5987830,105.4770,108.9300
2008-02-04,107.0600,105.0200,108.0500,104.6800,9049442,105.5330,108.9820
2008-02-05,105.0500,103.5900,106.4900,103.5800,8270891,105.5230,109.0240
2008-02-06,102.8900,102.3400,104.0000,100.6000,11258181,105.5310,109.0430
2008-02-07,102.1900,103.2700,103.6700,102.0700,6085694,105.5200,109.0520
2008-02-10,103.0500,105.1400,105.5500,102.8700,6098685,105.4750,109.0730
2008-02-11,105.1600,106.5300,107.3300,104.7000,7650254,105.4560,109.1000
2008-02-12,107.1300,108.4200,108.9300,106.8000,6608978,105.5200,109.1310
2008-02-13,107.9400,106.1300,108.5000,105.5000,7340633,105.5260,109.1460
2008-02-14,105.2700,106.1600,106.2500,105.0000,6236028,105.5170,109.1660
2008-02-18,106.9400,105.0000,107.6200,104.6400,7377113,105.4540,109.1770
2008-02-19,105.4300,107.8500,108.2100,104.5300,7672937,105.4170,109.2010
2008-02-20,108.1000,106.9300,109.6000,106.4300,8329027,105.3780,109.2200
